PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,New
33021227,Depression evaluation based on prefrontal EEG signals in resting state using fuzzy measure entropy,"Chen F, Zhao L, Li B, Yang L.",Physiol Meas. 2020 Oct 6;41(9):095007. doi: 10.1088/1361-6579/abb144.,Chen F,Physiol Meas,2020,10/6/2020,,,10.1088/1361-6579/abb144,1
32676977,"A Phase I, Randomized, Single‑Blind, Placebo‑Controlled, Single Ascending Dose Study of the Safety, Tolerability, and Pharmacokinetics of Subcutaneous and Oral TRV250, a G Protein-Selective Delta Receptor Agonist, in Healthy Subjects","Fossler MJ, Schmith V, Greene SA, Lohmer L, Kramer MS, Arscott K, James IE, Demitrack MA.",CNS Drugs. 2020 Aug;34(8):853-865. doi: 10.1007/s40263-020-00738-0.,Fossler MJ,CNS Drugs,2020,7/18/2020,PMC7392943,,10.1007/s40263-020-00738-0,1
32635758,EEG Markers in Emotionally Unstable Personality Disorder-A Possible Outcome Measure for Neurofeedback: A Narrative Review,"Boland C, Jalihal V, Organ C, Oak K, McLean B, Laugharne R, Woldman W, Beck R, Shankar R.",Clin EEG Neurosci. 2020 Jul 8:1550059420937948. doi: 10.1177/1550059420937948. Online ahead of print.,Boland C,Clin EEG Neurosci,2020,7/9/2020,,,10.1177/1550059420937948,1
32579028,Active and Passive Attentional Processing in Adolescent Suicide Attempters: An Event-Related Potential Study,"Tavakoli P, Boafo A, Jerome E, Campbell K.",Clin EEG Neurosci. 2020 Jun 24:1550059420933086. doi: 10.1177/1550059420933086. Online ahead of print.,Tavakoli P,Clin EEG Neurosci,2020,6/25/2020,,,10.1177/1550059420933086,1
32545632,Relationship between Auditory Evoked Potentials and Circadian Preference in Patients with Major Depressive Episodes,Park YM.,Brain Sci. 2020 Jun 12;10(6):370. doi: 10.3390/brainsci10060370.,Park YM,Brain Sci,2020,6/18/2020,PMC7349307,,10.3390/brainsci10060370,1
32532685,Reward Responsiveness in Suicide Attempters: An Electroencephalography/Event-Related Potential Study,"Tsypes A, Owens M, Gibb BE.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2020 Apr 23:S2451-9022(20)30096-3. doi: 10.1016/j.bpsc.2020.04.003. Online ahead of print.,Tsypes A,Biol Psychiatry Cogn Neurosci Neuroimaging,2020,6/14/2020,,,10.1016/j.bpsc.2020.04.003,1
32274440,Unified protocol for anxiety disorders in two cities of Mexico measuring gamma activity: Study protocol for a randomized controlled trial,"Dominguez-Rodriguez A, Chavez-Valdez SM, Avitia GC, Valencia-Espinoza LC.",Contemp Clin Trials Commun. 2020 Mar 17;18:100556. doi: 10.1016/j.conctc.2020.100556. eCollection 2020 Jun.,Dominguez-Rodriguez A,Contemp Clin Trials Commun,2020,4/11/2020,PMC7136174,,10.1016/j.conctc.2020.100556,1
32248653,Differentiating clinically depressed adolescents with and without active suicidality: An examination of neurophysiological and self-report measures of reward responsiveness,"Pegg S, Dickey L, Green H, Kujawa A.",Depress Anxiety. 2020 Sep;37(9):876-884. doi: 10.1002/da.23012. Epub 2020 Apr 5.,Pegg S,Depress Anxiety,2020,4/6/2020,,,10.1002/da.23012,1
32194443,Cariprazine Safety in Adolescents and the Elderly: Analyses of Clinical Study Data,"Szatmári B, Barabássy Á, Harsányi J, Laszlovszky I, Sebe B, Gál M, Shiragami K, Németh G.",Front Psychiatry. 2020 Mar 3;11:61. doi: 10.3389/fpsyt.2020.00061. eCollection 2020.,Szatmári B,Front Psychiatry,2020,3/21/2020,PMC7062963,,10.3389/fpsyt.2020.00061,1
32093790,Electroencephalography-based neurofeedback as treatment for post-traumatic stress disorder: A systematic review and meta-analysis,"Steingrimsson S, Bilonic G, Ekelund AC, Larson T, Stadig I, Svensson M, Vukovic IS, Wartenberg C, Wrede O, Bernhardsson S.",Eur Psychiatry. 2020 Jan 31;63(1):e7. doi: 10.1192/j.eurpsy.2019.7.,Steingrimsson S,Eur Psychiatry,2020,2/26/2020,,,10.1192/j.eurpsy.2019.7,1
32006765,Alzheimer disease starts in childhood in polluted Metropolitan Mexico City. A major health crisis in progress,"Calderón-Garcidueñas L, Torres-Jardón R, Kulesza RJ, Mansour Y, González-González LO, Gónzalez-Maciel A, Reynoso-Robles R, Mukherjee PS.",Environ Res. 2020 Apr;183:109137. doi: 10.1016/j.envres.2020.109137. Epub 2020 Jan 25.,Calderón-Garcidueñas L,Environ Res,2020,2/2/2020,,,10.1016/j.envres.2020.109137,1
31958906,Frontal Alpha Asymmetry Moderated by Suicidal Ideation in Patients with Major Depressive Disorder: A Comparison with Healthy Individuals,"Roh SC, Kim JS, Kim S, Kim Y, Lee SH.",Clin Psychopharmacol Neurosci. 2020 Feb 29;18(1):58-66. doi: 10.9758/cpn.2020.18.1.58.,Roh SC,Clin Psychopharmacol Neurosci,2020,1/21/2020,PMC7006982,,10.9758/cpn.2020.18.1.58,1
31920595,Family Risk for Depression and Prioritization of Religion or Spirituality: Early Neurophysiological Modulations of Motivated Attention,"Kayser J, Tenke CE, Svob C, Gameroff MJ, Miller L, Skipper J, Warner V, Wickramaratne P, Weissman MM.",Front Hum Neurosci. 2019 Dec 17;13:436. doi: 10.3389/fnhum.2019.00436. eCollection 2019.,Kayser J,Front Hum Neurosci,2019,1/11/2020,PMC6927907,,10.3389/fnhum.2019.00436,1
31697371,Mobile Neurofeedback for Pain Management in Veterans with TBI and PTSD,"Elbogen EB, Alsobrooks A, Battles S, Molloy K, Dennis PA, Beckham JC, McLean SA, Keith JR, Russoniello C.",Pain Med. 2019 Nov 7:pnz269. doi: 10.1093/pm/pnz269. Online ahead of print.,Elbogen EB,Pain Med,2019,11/8/2019,,,10.1093/pm/pnz269,1
31665570,Electroencephalogram Resting State Frequency Power Characteristics of Suicidal Behavior in Female Patients With Major Depressive Disorder,"Benschop L, Baeken C, Vanderhasselt MA, Van de Steen F, Van Heeringen K, Arns M.",J Clin Psychiatry. 2019 Oct 29;80(6):18m12661. doi: 10.4088/JCP.18m12661.,Benschop L,J Clin Psychiatry,2019,10/31/2019,,,10.4088/JCP.18m12661,1
32042508,Blunted Neural Reward Responsiveness in Children with Recent Suicidal Ideation,"Tsypes A, Owens M, Gibb BE.",Clin Psychol Sci. 2019 Sep;7(5):958-968. doi: 10.1177/2167702619856341. Epub 2019 Jul 9.,Tsypes A,Clin Psychol Sci,2019,2/12/2020,PMC7009725,NIHMS1530002,10.1177/2167702619856341,0
31614360,What Does Electroencephalography Coherence Tell Us about Memory Encoding in Adolescents at High Risk of Suicide?,"Kim Y, Kwon J, Yongtawee A, Woo J, Woo M.",Psychopathology. 2019;52(4):265-270. doi: 10.1159/000503374. Epub 2019 Oct 15.,Kim Y,Psychopathology,2019,10/16/2019,,,10.1159/000503374,0
31590722,Using Event-Related Potentials to Improve Our Prediction of Suicide Risk,"Gibb BE, Tsypes A.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Oct;4(10):854-855. doi: 10.1016/j.bpsc.2019.08.003.,Gibb BE,Biol Psychiatry Cogn Neurosci Neuroimaging,2019,10/9/2019,,,10.1016/j.bpsc.2019.08.003,0
31481683,The selective orexin-2 antagonist seltorexant (JNJ-42847922/MIN-202) shows antidepressant and sleep-promoting effects in patients with major depressive disorder,"Recourt K, de Boer P, Zuiker R, Luthringer R, Kent J, van der Ark P, Van Hove I, van Gerven J, Jacobs G, van Nueten L, Drevets W.",Transl Psychiatry. 2019 Sep 3;9(1):216. doi: 10.1038/s41398-019-0553-z.,Recourt K,Transl Psychiatry,2019,9/5/2019,PMC6722075,,10.1038/s41398-019-0553-z,0
31456429,Massive fatal overdose of abrin with progressive encephalopathy(),"Horowitz BZ, Castelli R, Hughes A, Hendrickson RG, Johnson RC, Thomas JD.",Clin Toxicol (Phila). 2020 May;58(5):417-420. doi: 10.1080/15563650.2019.1655150. Epub 2019 Aug 28.,Horowitz BZ,Clin Toxicol (Phila),2020,8/29/2019,,,10.1080/15563650.2019.1655150,0
31400570,Depression biomarkers using non-invasive EEG: A review,"de Aguiar Neto FS, Rosa JLG.",Neurosci Biobehav Rev. 2019 Oct;105:83-93. doi: 10.1016/j.neubiorev.2019.07.021. Epub 2019 Aug 7.,de Aguiar Neto FS,Neurosci Biobehav Rev,2019,8/11/2019,,,10.1016/j.neubiorev.2019.07.021,0
31399392,Impaired Conflict Detection Differentiates Suicide Attempters From Ideating Nonattempters: Evidence From Event-Related Potentials,"Albanese BJ, Macatee RJ, Gallyer AJ, Stanley IH, Joiner TE, Schmidt NB.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Oct;4(10):902-912. doi: 10.1016/j.bpsc.2019.05.015. Epub 2019 Jun 5.,Albanese BJ,Biol Psychiatry Cogn Neurosci Neuroimaging,2019,8/11/2019,,,10.1016/j.bpsc.2019.05.015,0
31352704,Frontal Alpha Asymmetry Correlates with Suicidal Behavior in Major Depressive Disorder,"Park Y, Jung W, Kim S, Jeon H, Lee SH.",Clin Psychopharmacol Neurosci. 2019 Aug 31;17(3):377-387. doi: 10.9758/cpn.2019.17.3.377.,Park Y,Clin Psychopharmacol Neurosci,2019,7/30/2019,PMC6705108,,10.9758/cpn.2019.17.3.377,0
31323595,Differentiating suicide attempts and suicidal ideation using neural markers of emotion regulation,"Albanese BJ, Macatee RJ, Stanley IH, Bauer BW, Capron DW, Bernat E, Joiner TE, Schmidt NB.",J Affect Disord. 2019 Oct 1;257:536-550. doi: 10.1016/j.jad.2019.07.014. Epub 2019 Jul 4.,Albanese BJ,J Affect Disord,2019,7/20/2019,,,10.1016/j.jad.2019.07.014,0
31182143,Efficacy of transcranial direct current stimulation in reducing impulsivity in borderline personality disorder (TIMBER): study protocol of a randomized controlled clinical trial,"Teti Mayer J, Nicolier M, Gabriel D, Masse C, Giustiniani J, Compagne C, Vandel P, Pazart L, Haffen E, Bennabi D.",Trials. 2019 Jun 10;20(1):347. doi: 10.1186/s13063-019-3427-z.,Teti Mayer J,Trials,2019,6/12/2019,PMC6558822,,10.1186/s13063-019-3427-z,0
30390328,Effect of Affective Reward on Cognitive Event-related Potentials and its Relationship with Psychological Pain and Suicide Risk among Patients with Major Depressive Disorder,"Song W, Li H, Guo T, Jiang S, Wang X.",Suicide Life Threat Behav. 2019 Oct;49(5):1290-1306. doi: 10.1111/sltb.12524. Epub 2018 Nov 2.,Song W,Suicide Life Threat Behav,2019,11/4/2018,,,10.1111/sltb.12524,0
30156460,A Promising New Strategy to Improve Treatment Outcomes for Patients with Depression,"Carpenter G, Harbin HT, Smith RL, Hornberger J, Nash DB.",Popul Health Manag. 2019 Jun;22(3):223-228. doi: 10.1089/pop.2018.0101. Epub 2018 Aug 29.,Carpenter G,Popul Health Manag,2019,8/30/2018,PMC6555180,,10.1089/pop.2018.0101,0
